SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
351397.0,2,38.0,4,3,4,5,2,1,0,0
352779.0,1,47.0,2,4,2,5,2,1,0,0
350857.0,2,87.0,3,2,4,5,2,1,0,0
351494.0,2,57.0,3,3,3,5,2,1,0,0
350316.0,1,82.0,2,2,4,5,2,1,0,0
352864.0,2,80.0,3,3,4,5,2,1,0,0
351004.0,2,62.0,3,4,2,5,2,1,0,0
350023.0,1,76.0,2,2,2,3,2,1,0,0
352452.0,2,52.0,2,2,2,5,2,1,0,0
352069.0,2,36.0,2,2,2,4,2,1,1,2
352858.0,2,52.0,3,4,4,5,2,1,0,0
351455.0,1,46.0,3,2,3,5,2,1,1,5
350559.0,2,42.0,2,4,2,5,2,1,1,1
351696.0,1,45.0,4,4,4,5,2,1,0,0
352482.0,2,56.0,2,4,4,1,2,1,1,2
350119.0,1,36.0,1,4,1,5,2,1,1,9
351774.0,1,38.0,3,3,3,5,2,1,1,0
352567.0,1,74.0,5,4,5,5,2,0,0,0
351755.0,2,58.0,2,2,4,5,2,1,0,0
350441.0,2,40.0,2,2,4,5,2,1,1,0
351524.0,1,72.0,3,4,2,5,2,1,0,0
351427.0,1,72.0,3,3,2,5,2,1,0,0
352141.0,1,74.0,3,2,4,5,2,1,0,0
351161.0,1,66.0,3,2,4,4,2,1,0,0
352773.0,1,28.0,4,4,2,5,2,1,0,0
352416.0,2,71.0,2,4,4,4,2,1,0,0
350223.0,1,27.0,3,4,1,5,2,0,1,6
352763.0,2,32.0,3,4,5,5,2,1,1,3
351017.0,2,35.0,3,5,3,5,2,1,1,2
351143.0,2,32.0,3,2,4,5,2,1,1,3
351467.0,2,44.0,3,2,3,5,2,1,1,3
351928.0,1,51.0,2,2,4,5,2,1,0,0
352519.0,1,54.0,3,2,4,5,2,0,1,2
352409.0,2,43.0,2,2,4,5,2,1,0,0
350163.0,2,52.0,2,2,1,5,2,1,1,1
351844.0,2,29.0,3,4,4,4,2,1,0,0
351289.0,2,81.0,3,3,2,5,2,1,0,0
350692.0,1,51.0,2,2,4,5,2,1,0,0
351557.0,2,41.0,5,5,5,5,2,0,1,7
350807.0,2,56.0,4,4,4,5,2,1,0,0
350698.0,2,87.0,3,3,3,5,2,1,0,0
350907.0,2,38.0,2,2,4,5,2,1,1,2
351257.0,2,61.0,2,2,2,5,2,1,1,2
350025.0,1,28.0,3,2,3,5,2,1,1,6
352853.0,2,74.0,3,2,4,4,2,1,0,0
351231.0,1,43.0,2,3,5,5,2,1,1,8
352837.0,1,66.0,2,2,2,5,2,1,0,0
351282.0,1,20.0,2,2,2,4,2,1,1,3
351759.0,1,80.0,3,2,4,4,2,1,0,0
351120.0,1,46.0,3,3,3,5,2,1,1,0
352480.0,2,57.0,2,4,2,5,2,1,0,0
